plot_label,profile_name,ahp_profile,fuzzy_profile
P1,ahp_all__fuzzy_all,all,all
P2,ahp_山口__fuzzy_中山,山口,中山
P3,ahp_山口__fuzzy_中村,山口,中村
P4,ahp_山口__fuzzy_佐藤,山口,佐藤
P5,ahp_山口__fuzzy_奥平,山口,奥平
P6,ahp_山口__fuzzy_山口,山口,山口
P7,ahp_山口__fuzzy_川端,山口,川端
P8,ahp_山口__fuzzy_百武,山口,百武
P9,ahp_山口__fuzzy_福川,山口,福川
P10,ahp_山口__fuzzy_竹村,山口,竹村
P11,ahp_山口__fuzzy_西村,山口,西村
P12,ahp_山口__fuzzy_豊村,山口,豊村
P13,ahp_山口__fuzzy_貞方,山口,貞方
P14,ahp_山口__fuzzy_釜石,山口,釜石
P15,ahp_山口__fuzzy_長田,山口,長田
P16,ahp_百武__fuzzy_山口,百武,山口
P17,ahp_百武__fuzzy_百武,百武,百武
P18,ahp_百武__fuzzy_貞方,百武,貞方
P19,ahp_貞方__fuzzy_山口,貞方,山口
P20,ahp_貞方__fuzzy_百武,貞方,百武
P21,ahp_貞方__fuzzy_貞方,貞方,貞方
